scrapping_date,review_author,review_title,one_reviews_text,review_date,review_rating,review_helpful,review_feedback,revie_count
2022-06-13 22:56:50.013966,Armyguy31b01,The Mech Simulator I Waited For!,"I bought this a while ago for PC but haven't been able to play in ages.  Hearing this came to the Quest 2...my mind was blown.

PROs:  It's a mech simulator that separates itself apart from other similar titles.  Hands down, the most emersive VR experience I have (and I am somewhat of a VR enthusiast).  May just be my bias for mech games, but I absolutely love this game and is my current favorite.  The multiplayer is what really makes this game.  A total of 16 players, is pure chaos.  Unique voice chat adds to the emersion.  It feels like you are actually piloting this massive war machine.  The fan base is incredibly helpful and welcoming  to new players.  Remember, this game is treated like a sim.  Yes, you can pick up right out of the box and get into it, but there will be a learning curve.  It's. Its NOT you're typical run and gun.

CONs:. The quest version takes a hit to graphics.  No surprise there.  I am still absolutely shocked by what the team was able to squeeze in here.  The campaign is a great add, but I gotta say...not a fan of doing a bunch of meaningless tasks outside of my grinder missions.  It's frustrating trying to talk to everybody and find that ""trigger"" that gets me back into the action.  Yes there are glitches which I will outline below:

1.  Game crashes quite a bit.  Not casting which seems to be an issue as well.  At times, the game will not start at the beginning and crash out right.  Might take a few times trying to load the game initially.  I've had 4 crashes mid game so far.

2.  Graphical glitches.  Handing things to players is weird.  Body parts such as hands and legs twist and turn extremely unnatrually.  Drops the emersion value.  Picking up objects sometimes doesn't work.  

Those are the big ones right now.  Played about 5 hours total so far.  Must have!!!!",Mar 6 at 3:20 AM,5, 62, ,175
2022-06-13 22:56:50.026234,AndysVrReviews,Mech robots in VR!,"For a full video review visit Andy's VR Reviews on Youtube.

Have you ever dreamed of piloting a 100-foot tall mech robot? If so, Vox Machinae is the game for you. With a 10+ hour campaign, you really feel like you get your money's worth and that's without mentioning the multiplayer cross-platform experience with 6 game types including PVP and Bots. Sometimes VR games just get it right and Vox Machinae is one of those games. The mechanics, the environments, the story, and everything else fits perfectly together to make an overall great game. Great job guys!",Mar 4 at 3:01 AM,5, 168, ,175
2022-06-13 22:56:50.039246,MystyTideseeker,Not for the faint of heart,"If you're here for the multiplayer (and let's face it, most of us are), please understand; this game is ALL about skill and tactics. There is no auto-aim, I don't believe there's auto-assist and you WILL be destroyed endlessly if you don't stick with at least one other person and have a well-balanced team of mechs. There may come a point where you become one of the great players, and then you may not have to care quite as much, but....when you start getting it, it's incredibly satisfying. Only loss of a star would be for a pretty hefty lack of customization.",Apr 23 at 4:12 AM,4, 7, ,175
2022-06-13 22:56:50.052228,BigBoss._,Nice but,"Best mech game you can get. but story is too slow,like you walking for 30 mins then fight for 5 mins. And they are talking too much while i just want to ride a robot and shoot some stuff.

And this game have zero comfortable option on cockpit ,so you will need strong vr immunity to play this game.",Mar 4 at 1:41 PM,4, 65,"Hi BigBoss. If the story isn't your cup of tea and you'd like to get to the action quicker, you can speed things up by skipping character dialog using the B button. You can also teleport around the ship quickly, and combining these 2 things will let you get to the missions in no time! For the cockpit experience, we do have a comfort setting we call ""blinders"" (find it in settings>video>blinders) which you can increase to the aggressive setting and that may help improve your comfort while turning the grinder left or right.",175
2022-06-13 22:56:50.064543,Talon1,Thank you Devs!,"14 year old me would be in heaven.  Back in the 90's, when I was playing MechWarrior 2 on my 486dx2/50, I never in my wildest dreams thought that there would be EXACTLY THAT in VR 30 years later. We have big, lumbering, heavy mechs. Heat management is important. Limbs can be blown off. It's all very similar to MW2. Great job guys!",Mar 4 at 5:34 AM,5, 54, ,175
2022-06-13 22:56:57.187272,Oculus 1,Must-buy for mech lovers!,"We all read the reviews about the tedious and slow campaign but it's a good way to learn the basics of operating your grinder. Turn on teleport for movement for much faster traveling than walking. However, it's the multiplayer that shines.
It seems like the developers are considering our opinions and making the game better each time there's an update like adding places to refuel your grinder. Graphics are decent for the Oculus and the sound and voice acting are very good. Some of the weapons seem like they may not do a lot of damage like the minigun or the photon. I just wish there was a slightly better indication, by sound or sight, of how much damage the weapon I'm using is causing. Perhaps a stronger controller vibration for stronger hits, and different colors or intensities of explosions? Another thing that I would change that kind of bothers me is referring to other players that are our friends as, ""comrades."" Regarding the current state of affairs in the war in ukraine, I would rather not refer to my friends in the game as comrades. 
Overall a great game with great attention to the opinions of players and the implementation of their ideas.",19 days ago,5, 0, ,175
2022-06-13 22:56:57.206327,pyroiguana,Vox Machinae,"So far so good. Very impressive game. The graphics are spot on for an early release. I can’t wait to see what can be done in the future with a game like this.  I love the realistic feel of the controls.  The campaign and interactions with the npc's makes the game addictive.  The AI on the wrist watch is a bit annoying 🙄.  I was looking for a toilet in the game to flush her down. 
It's a great game for newbs and pros alike.  If you're into mech games this one's for you.",19 days ago,5, 0, ,175
2022-06-13 22:56:57.220682,Clickster38,WOW is a word I used a lot playing this,"Vox Machinae is a breath of fresh air for me, I’ve not played anything like this in VR before. Being in the cockpit of a 100ft combat machine is very cool. Single player campaign has a good 10 hours of gameplay. Unfortunately I wasn’t able to play multiplayer yet. I’m on about mission 4 and I’m thoroughly enjoying it, the storyline for the campaign is great, awesome AI characters, I love the cook 😂. If I had played multiplayer and that was as good as the campaign I would have given 5 stars. For a stand alone Quest game the graphics are very good. I have a video you can check out on my YouTube channel Fun with the clicks.",Mar 4 at 3:41 AM,4, 48, ,175
2022-06-13 22:56:57.236564,TheJackOfNoTrades,One of my favorite games now on the go!,"This game is incredible. I picked it up last week and I instantly knew I would love it just from the main menu, this game is insanely addictive and fun with amazing physics, gameplay, multiplayer, everything!
I am going to make a couple of comparisons to the PCVR version of this game but mainly focusing on the Quest 2 version.

First off I want to say that this game had a incredible community and still has one of the better ones out there, either way you are bound to find some splendid people to spend some hours with in this game and it’s a joy to play with strangers and friends alike!

Next up in the checklist is graphics, well they are amazing on PC and pretty good on Quest 2 surprisingly! The game already had a great art style and stylish look to everything and the Quest version, while notably worse does do a decent job at portraying its unique flair, it also runs spectacularly for a mobile headset and felt just as smooth as my PC setup on my HTC Vive! 

On top of that one of my favorite aspects is the physics, I LOVE PHYSICS in games it adds a dynamic you don’t get without them and this game is heavily physics based the grinders are hulking Titans that can crush a house and you really  feel that! They walk slow and heavily and the weapons feel powerful, Even in the smaller faster mechs they still feel heavy and responsive with stellar controls for all weapons. This is one of the few Quest games I have seen use physics to such extent and as a success making it among the most impressive I have seen! Not to mention the graphics really take me back to PS2 mech worrier days and I really like it!

There are 2 notable cons to this gem of a game however, first off is that there is a fairly small player base, there never seems to be more than 20 people playing at a time which is honestly a insult to this game that people would rather be playing big standard and generic games rather than something truly unique, and 2nd con is the story. It is honestly pitiful, I was exited to see what the Devs would do with this and it is certainly… Something. Idk man the voice acting is kinda bad, characters are obnoxious, the intermission is annoying, and it always feels the need to wait for you. Like in that 2nd mission where you are following some girl who hates you or something and she says “show me your jump jet skills” and I am already up the jump it just breaks the mission, they expect people who play the campaign to be new to the game but I already had like 20hrs on PC I knew how to play this game and I was punished because of it. It leads me to just skip the campaign all together as it’s just boring and slow. I really wish they went for a more unique idea like some person that’s stranded on a planet and lives in the grinder where you need to fight other pilots to survive and collect scrap to fix broken components. Something like that would have been interesting and fun but instead we got a cheap boring story with no production value outside of the sequence where they pull the mech out of the ground at the start of a mission.

Devs if you read this please try and work on a true campaign. Don’t make it a priority but maybe in a year or two try and work on a replacement that showcases this games unique attributes.

With the content you get such as Many multiplayer modes, a full (albeit boring) campaign, good visuals for PC and Quest alike, and stellar gameplay it’s a must have on the quest and gets my recom all day everyday! 

Not to mention that the game has good social aspects, a deep sandbox you could spend 100s of hours learning, and some of the best and most balanced gameplay I have ever played makes this one of my favorite games I have ever played! 

Splendid work Space Bullet! You are putting in the work that VR needs!

Highly Recommended 6/5 stars.",22 days ago,5, 0, ,175
2022-06-13 22:56:57.250657,Gamkedo,"Love the mech gameplay, needs less fetch","5 star mech gameplay, great level of variation in the worlds and missions, mech types and weapons, enemy and friendly AI, in-game writing is all great. Genuinely nails what we imagined playing 90s PC mech games and the potential for VR interfaces.

Unfortunately, and it pains me to say this because it's clear a lot of work went into the non-mech parts, those are a 2-3 star exp in a way that prevents me from recommending this to everyone I know. Even pumping the button to skip dialog every other mission consists of walking around the ship to pick up objects, but only after talking to the right person, between tapping the watch to figure out what it's waiting to have happen next. I honestly feel like I'm completing a chore getting through it before I turn off the quest to reward myself by being able to do a mech part the next time I play. The plot is good, characters as they are in-mission is good, but if there was an option to replace the non-mech parts with a 2-3 sentence summary or brief cutscene I'd rate this 5 stars easily and it'd be my top recommendation to everyone, enough to buy a quest for. Instead, I'm hesitant to even suggest it to other quest owners without a disclaimer that it'll involve pushing through the non-mech stuff so much between getting to play the (excellent and varied) mech missions.

Minor note: I wish there was a clear indication of how long ago it saved, ambiguity of when checkpoints are leaves me often unsure how much I'll need to replay based on when I exit the game.

Updating my review: discovered today what I really wanted, simply mech combat against bots, is hidden behind the multiplayer menu (Multiplayer->Create Host->Offline Practice, the first two steps of which someone who wants bot skirmish might never click?). I'm most of the way through the single player campaign but I hadn't opened the multiplayer menu, since I don't like to play online. There's a ton of options in there and the bots are solid.",19 days ago,4, 1, ,175
2022-06-13 22:57:04.361448,Mojuggin,Terrible,"At first I was having a great time. Loved the controls. Decent graphics etc. Level design and mechanics are absolute horse crap. Combat is pretty straightforward and is kind of fun but I can't make it past the second level. The games AI(not blue) has unlimited amount of fuel. If you can't make it up a lightning pillar in one go, your partners leave you in the dust and you fail. If you do make it... they still leave you in the dust and you fail. Rage quit after an hour of attempting this. I'm going to try one more time after I watch some videos and give it one more go. But you should have to watch YouTube videos to pass a level... especially that early on in the game. If that doesn't work I'm going to ask for a refund even though I've played more than 2 hours, it was 2 hours of trying real hard not to toss the controllers across the room in rage and disbelief.",Apr 17 at 4:20 AM,1, 5,"Sorry to hear you're having trouble with the game's flying mechanic, it can definitely take some time to get the hang of it. Typically we find folks either don't pull up on the stick to gain enough vertical lift before trying to make a jump, or attempt a jump without allowing for enough fuel to fill the tank. Most missions such as #3 you describe will allow the player to pick a different grinder, and each has its maneuvering differences, so you may have luck picking a lighter one. In either case, there's lots of training tutorials built right into the game that are accessible within the multiplayer menu, and you can hone your jumpjet skills there, too.",175
2022-06-13 22:57:04.375235,Illustrious_Moongirl,Fail by Technicality,"At first I thought, ""kind of like Mass Effect,"" in the fact that the game alternates between team-building segments and harsh and violent action segments, but I found these, unlike Mass Effect, to be fraught with inconsequential choices, conversations and ""can you find the secret crystal?"" tasks.

""Hi, I'm Dorra! Can YOU find the crowbar?"" 

Boring. But the sin isn't its boredom and annoyance factor, but rather the inability to circumnavigate these gameplay portions, if desired.

Rather, it would be better to have three options: 1) play the game as intended, 2) cutscenes or something equivalent, or 3) skip these scenes and go straight into the missions.

At some point, you have to face the facts: you shouldn't force players who don't care for the story aspects of the game (or who go through times where they just want to play levels without drudging through action-less story segments which sometimes last as long as the missions) to undergo them.

Can I pay an extra five or ten dollars to have the option to skip? I'm so aggravated that I cannot at this time give this game more than a star. I'll play it since I paid for it, but it's kind of like eating crab meat -- the meat inside is good but it can be a pain in the posterior and take a while to break the shell and pull it apart to get to the meat. Sometimes, it's not worth it.",Mar 26 at 10:53 PM,1, 13,"Hi abriellecorn, it's a pity our brand of story isn't to your liking, though it's a very fair point that this, like any game, is a matter of taste. We'll save you the $5-$10 because as luck would have it, we are in the midst of working on an patch update that will allow players to do exactly what you request, limit the required interactions during intermissions, or to altogether skip them. Though we feel our intermission sequences do provide valuable and entertaining context to the campaign, we agree that some folks may just not be engaged with our brand of storytelling. Not sure about an ETA on the update, but it's coming, thanks for being patient.",175
2022-06-13 22:57:04.390415,Choddie,Frustrating single player campaign...,"Have only played the single player campaign. Initially, seemed to be a great game with good immersion and feeling of fighting in a mech. I even enjoyed the in-between interactions with the other crew members. However, some missions are frustrating hard, requiring dozens of replays to succeed, and inconsistent support from your fellow mechs. Last straw is the space mission where Frank collects the fuel, but impossible to stop him being killed, and so can't progress. Needs a difficulty setting - Hugely disappointing...",May 19 at 6:33 AM,3, 0,"You can actually just fly straight to the end of the mission once escaping to complete it that way. Defending Frank is indeed challenging, and we have heard from other players it was perhaps too challenging. A future update will be addressing some difficulty spikes such as this section and several others over the course of the campaign. Thanks for being patience, and I hope this tip helps you in getting over this section. Looking forward to your thoughts upon finishing the whole campaign!",175
2022-06-13 22:57:04.404054,dino_bot,Impulse Buy = Impulse Review,"I bought this game immediately because I thought: oh yeah! giant robot mech battles! And so, here's a similarly impulsive review. I might update this after some more time playing with it, but so far I'm happy.

PRO: oh yeah! giant mech battle!

PRO: The mech has a trucker horn that goes honk honk whenever you pull on it and I think that's awesome. 

PRO: You can control the mech realistically by manipulating the various doohickeys in the mech vehicle and/or you can map your controller to do the movements. neat!

PRO: Some of the voice acting is good.

CON: The UI for remapping the controls is cumbersome. Just give me a list of every function and then let me assign whatever I want to it. Don't break it up by which part of which controller, that's only going to slow things down.

CON: While some of the voice acting is pretty good, I can quickly tell that the voice of the mech's computer is going to get on my nerves. The sound of it is a little off to my ears, and also it's a bit repetitive telling you where to go while you're still on your way.

CON: You'll need to take some time to orient yourself to the controls. It's not un-learnable or anything but you don't get to dive right in to kicking butt like you might with a more intuitable FPS interface.

I think the story is a bit tongue-in-cheek. If you expect the cinematic narrative you might get from the Halo games for example, then you aren't really going to care much for the ""drama"" here, but if you're more inclined to take a ""oh yeah, mech battle!"" attitude like me then, well maybe you can just chuckle at the story parts and blast your way through. 

Overall, I expect this game to be fun and I don't regret the impulse buy.",Mar 5 at 2:44 PM,3, 27, ,175
2022-06-13 22:57:04.418066,Dravey82,"EVERYTHING I EVER WANTED, GET IT NOW","This game is literally everything I ever wanted in a mech game let alone a game.
I had a major beef because it's very very difficult for beginners.
maybe I didn't do the right thing or idk but jumping from lightning peak to lightning peak was like a stress level I never felt in VR yet lol.

THIS GAME IS REAL, AS IN IT IS A REAL MECH GAME.
obviously I can see all of the influences from MechWarrior to Hawken and everything in between.

I was very angry with the game because it's so difficult, but now that love hate turned into an infatuation.

It's literally one of the best games I've ever played and the story so far is freaking hilariously entertaining. It's a little long and I foresee it getting to be a little tedious (finding a bicycle horn and a starship for a robot isn't on my list to do when I'm dying to fight some mechs) but nevertheless I just discovered the multiplayer and oh my god.... you just have to try it.
All that being said, I haven't played too far into it. I'm enjoying it so much I keep playing the same things over and over as to understand them fully and get the best outcome possible.

like I previously mentioned, the multiplayer has to be one of the best multiplayers out there, very intricate very different very new to VR, you have to get this game.",Mar 7 at 7:20 PM,5, 29, ,175
2022-06-13 22:57:11.534671,Xraap,Game is more than just amazing,"This game is more than amazing, I knew it was going to be fire 🔥 when I preordered it 6 days before release. You can have so much fun playing it and the community is very chill and mature. I love this game. 

I got 2 disclaimers tho…there are not a lof of online players so it takes a bit to find a full server. ITS WORTH THE WAIT THO. 
2nd… The story is not really dragging you into the real experience potential this game has to offer. The campaign can be very challenging for beginners. The real fun is the multiplayer modes.

I hope to see more active players in the future.",Mar 4 at 2:57 PM,4, 18, ,175
2022-06-13 22:57:11.549581,ScowlinMunkeh,Mayhem!,"I’m an old Steel Battalion player (remember that giant console with a gazillion switches you needed just to switch your mech on?) and have been looking for something as immersive for years. This is the closest I have found so far, and it is great, chaotic fun!

The campaign is good - a nice story, fun characters, different things to do etc. However, multiplayer is where it’s at.  Different maps, different game types, and a ton of mechs going at it - madness!

I love the controls. Stick it in gear, twist to turn, pull to jump, yank to honk your horn - it’s a great vibe. It really suits VR, being sat in that cockpit looking out into the world.

Considering the limitations of the OQ2, the graphics are good, and where the textures are a bit lacking you don’t really care when you’re in the thick of it.

Great fun. Get it.",May 4 at 9:35 AM,5, 0, ,175
2022-06-13 22:57:11.563580,Cast_No_Shadow,"This game is definitely a ""must have""","Extremely addictive gameplay, coupled with what is hands down the most awesome and nicest community in gaming. There is a steep learning curve, but lots of people who are willing to give you tips along the way.",23 days ago,5, 0, ,175
